x,y
0.187914,0.273986
0.125492,-0.862333
-0.468542,-0.781685
0.223098,-0.397515
0.966489,-0.224867
0.656295,0.342496
0.331226,0.907685
-0.537040,-0.029036
0.000089,-0.507738
0.441603,0.022388
0.279304,0.261925
0.167016,-0.955982
0.814430,0.124997
0.829162,-0.275383
-0.360921,-0.006491
0.898886,-0.416584
0.465563,0.724211
-0.179137,-0.754455
-0.123730,0.468236
-0.360162,0.765470
-0.743114,0.487180
0.036951,-0.962314
0.382460,0.013370
0.711833,-0.216930
0.062425,-0.825245
0.106293,0.469016
0.748130,-0.171622
-0.456233,0.089337
-0.510314,-0.848644
0.845623,0.381276
0.110412,-0.301833
-0.007087,0.882073
-0.406635,-0.310956
-0.237853,0.412869
-0.905590,-0.244064
0.021813,0.617949
-0.139102,0.109769
0.884864,-0.095000
-0.670076,0.038141
-0.971498,0.039337
-0.868200,0.157304
-0.190080,-0.677529
0.767505,-0.536057
0.485480,-0.534697
-0.650111,-0.411224
0.563259,0.685885
-0.328866,0.752457
0.541531,-0.489531
0.460734,-0.451141
-0.326967,0.664368
0.031156,-0.366755
-0.047450,0.500666
0.689857,0.428358
-0.589920,-0.782106
-0.324865,-0.006384
0.706746,0.286325
0.272569,-0.929915
0.921636,-0.058250
0.392401,-0.914339
0.702778,-0.408538
-0.291958,-0.943071
-0.193691,0.639230
-0.465042,0.033292
-0.455913,-0.535747
-0.303551,0.218480
-0.003276,0.936914
0.710807,0.529244
0.580972,0.396542
0.681712,-0.463856
-0.036076,-0.324628
-0.022245,0.122405
-0.734726,-0.539373
0.756566,-0.401216
0.756348,-0.059606
0.206507,0.766166
0.954240,-0.082359
-0.203654,-0.805941
0.557635,0.164930
-0.028416,0.419819
-0.095040,0.654571
-0.620674,0.334040
0.202153,-0.418651
-0.268803,0.235897
-0.012275,-0.311757
0.292215,-0.748153
-0.203198,0.848483
0.460572,0.838196
-0.439890,0.761026
0.557964,-0.299432
-0.561635,0.597840
-0.104830,0.118196
0.525571,-0.726644
-0.710418,0.004976
-0.375346,-0.443682
0.005775,-0.940554
0.112672,-0.325503
-0.734489,-0.557880
