 Step          Temp          PotEng         KinEng         TotEng         Press     
       217   1             -4.200472       1.49          -2.710472       0.10012146   
       220   1.029701      -4.200472       1.5342545     -2.6662175      0.1045469    
       230   1.122479      -4.200472       1.6724937     -2.5279783      0.11837082   
       240   1.2063857     -4.200472       1.7975147     -2.4029573      0.13087293   
       250   1.2822695     -4.200472       1.9105815     -2.2898905      0.14217961   
       260   1.3508974     -4.200472       2.0128371     -2.1876349      0.15240516   
       270   1.4129632     -4.200472       2.1053152     -2.0951568      0.16165297   
       280   1.4690945     -4.200472       2.1889507     -2.0115213      0.17001653   
       290   1.5198585     -4.200472       2.2645892     -1.9358828      0.17758038   
       300   1.5657687     -4.200472       2.3329953     -1.8674767      0.18442099   
       310   1.607289      -4.200472       2.3948606     -1.8056114      0.19060751   
       320   1.6448392     -4.200472       2.4508104     -1.7496616      0.19620249   
       330   1.6787989     -4.200472       2.5014104     -1.6990616      0.2012625    
       340   1.7095115     -4.200472       2.5471721     -1.6532999      0.20583867   
       350   1.7372874     -4.200472       2.5885582     -1.6119137      0.20997728   
       360   1.7624074     -4.200472       2.6259871     -1.5744849      0.21372016   
       370   1.7851256     -4.200472       2.6598371     -1.5406349      0.21710516   
       380   1.8056714     -4.200472       2.6904504     -1.5100216      0.22016649   
       390   1.8242527     -4.200472       2.7181365     -1.4823355      0.22293511   
       400   1.8410573     -4.200472       2.7431754     -1.4572966      0.22543899   
       410   1.8562551     -4.200472       2.76582       -1.434652       0.22770346   
       420   1.8699997     -4.200472       2.7862995     -1.4141725      0.2297514    
       430   1.88243       -4.200472       2.8048207     -1.3956513      0.23160353   
       440   1.8936718     -4.200472       2.821571      -1.378901       0.23327856   
       450   1.9038387     -4.200472       2.8367197     -1.3637523      0.23479342   
       460   1.9130334     -4.200472       2.8504198     -1.3500522      0.23616344   
       470   1.921349      -4.200472       2.86281       -1.337662       0.23740246   
       480   1.9288694     -4.200472       2.8740155     -1.3264565      0.238523     
       490   1.9356708     -4.200472       2.8841495     -1.3163225      0.2395364    
       500   1.9418218     -4.200472       2.8933145     -1.3071575      0.24045291   
       510   1.9473847     -4.200472       2.9016032     -1.2988688      0.24128178   
       520   1.9524157     -4.200472       2.9090993     -1.2913726      0.24203139   
       530   1.9569656     -4.200472       2.9158787     -1.2845933      0.24270933   
       540   1.9610804     -4.200472       2.9220099     -1.2784621      0.24332244   
       550   1.9648019     -4.200472       2.9275548     -1.2729172      0.24387693   
       560   1.9681674     -4.200472       2.9325695     -1.2679025      0.2443784    
       570   1.9712112     -4.200472       2.9371047     -1.2633673      0.24483192   
       580   1.9739639     -4.200472       2.9412062     -1.2592658      0.24524208   
       590   1.9764534     -4.200472       2.9449156     -1.2555564      0.24561302   
       600   1.9787049     -4.200472       2.9482703     -1.2522017      0.24594849   
       610   1.9807411     -4.200472       2.9513042     -1.2491678      0.24625188   
       620   1.9825826     -4.200472       2.9540481     -1.2464239      0.24652626   
       630   1.984248      -4.200472       2.9565295     -1.2439425      0.24677441   
       640   1.9857542     -4.200472       2.9587737     -1.2416983      0.24699883   
       650   1.9871163     -4.200472       2.9608033     -1.2396686      0.24720179   
       660   1.9883482     -4.200472       2.9626389     -1.2378331      0.24738534   
       670   1.9894624     -4.200472       2.9642989     -1.2361731      0.24755135   
       680   1.99047       -4.200472       2.9658002     -1.2346718      0.24770148   
       690   1.9913812     -4.200472       2.967158      -1.233314       0.24783725   
       700   1.9922053     -4.200472       2.9683859     -1.2320861      0.24796005   
       710   1.9929506     -4.200472       2.9694964     -1.2309756      0.2480711    
       720   1.9936247     -4.200472       2.9705008     -1.2299712      0.24817153   
       730   1.9942343     -4.200472       2.9714091     -1.2290629      0.24826236   
       740   1.9947856     -4.200472       2.9722305     -1.2282415      0.24834451   
       750   1.9952842     -4.200472       2.9729734     -1.2274986      0.2484188    
       760   1.9957351     -4.200472       2.9736453     -1.2268267      0.24848598   
       770   1.9961429     -4.200472       2.9742529     -1.2262191      0.24854675   
       780   1.9965117     -4.200472       2.9748024     -1.2256696      0.2486017    
       790   1.9968452     -4.200472       2.9752994     -1.2251726      0.2486514    
       800   1.9971469     -4.200472       2.9757489     -1.2247231      0.24869634   
       810   1.9974197     -4.200472       2.9761554     -1.2243166      0.24873699   
       820   1.9976664     -4.200472       2.976523      -1.223949       0.24877375   
       830   1.9978896     -4.200472       2.9768554     -1.2236166      0.248807     
       840   1.9980914     -4.200472       2.9771561     -1.2233159      0.24883707   
       850   1.9982739     -4.200472       2.977428      -1.223044       0.24886426   
       860   1.9984389     -4.200472       2.977674      -1.222798       0.24888885   
       870   1.9985882     -4.200472       2.9778964     -1.2225756      0.24891109   
       880   1.9987232     -4.200472       2.9780975     -1.2223745      0.24893121   
       890   1.9988453     -4.200472       2.9782794     -1.2221926      0.2489494    
       900   1.9989557     -4.200472       2.9784439     -1.222028       0.24896585   
       910   1.9990555     -4.200472       2.9785927     -1.2218793      0.24898073   
       920   1.9991458     -4.200472       2.9787273     -1.2217447      0.24899418   
       930   1.9992275     -4.200472       2.978849      -1.221623       0.24900635   
       940   1.9993014     -4.200472       2.978959      -1.2215129      0.24901736   
       950   1.9993682     -4.200472       2.9790586     -1.2214134      0.24902731   
       960   1.9994286     -4.200472       2.9791486     -1.2213234      0.24903631   
       970   1.9994832     -4.200472       2.97923       -1.221242       0.24904446   
       980   1.9995326     -4.200472       2.9793036     -1.2211684      0.24905182   
       990   1.9995773     -4.200472       2.9793702     -1.2211018      0.24905848   
      1000   1.9996177     -4.200472       2.9794304     -1.2210416      0.2490645    
      1010   1.9996543     -4.200472       2.9794849     -1.2209871      0.24906994   
      1020   1.9996873     -4.200472       2.9795341     -1.2209378      0.24907487   
      1030   1.9997172     -4.200472       2.9795787     -1.2208933      0.24907932   
      1040   1.9997443     -4.200472       2.979619      -1.220853       0.24908335   
      1050   1.9997687     -4.200472       2.9796554     -1.2208166      0.249087     
      1060   1.9997908     -4.200472       2.9796884     -1.2207836      0.24909029   
      1070   1.9998108     -4.200472       2.9797182     -1.2207538      0.24909327   
      1080   1.9998289     -4.200472       2.9797451     -1.2207269      0.24909597   
      1090   1.9998453     -4.200472       2.9797695     -1.2207025      0.2490984    
      1100   1.9998601     -4.200472       2.9797915     -1.2206805      0.24910061   
      1110   1.9998735     -4.200472       2.9798115     -1.2206605      0.2491026    
      1120   1.9998856     -4.200472       2.9798295     -1.2206425      0.2491044    
      1130   1.9998965     -4.200472       2.9798458     -1.2206262      0.24910603   
      1140   1.9999064     -4.200472       2.9798605     -1.2206115      0.24910751   
      1150   1.9999153     -4.200472       2.9798739     -1.2205981      0.24910884   
      1160   1.9999234     -4.200472       2.9798859     -1.2205861      0.24911005   
      1170   1.9999308     -4.200472       2.9798968     -1.2205752      0.24911114   
      1180   1.9999374     -4.200472       2.9799067     -1.2205653      0.24911213   
      1190   1.9999434     -4.200472       2.9799156     -1.2205564      0.24911302   
      1200   1.9999488     -4.200472       2.9799237     -1.2205483      0.24911382   
      1210   1.9999537     -4.200472       2.979931      -1.220541       0.24911455   
      1220   1.9999581     -4.200472       2.9799376     -1.2205344      0.24911521   
      1230   1.9999621     -4.200472       2.9799436     -1.2205284      0.24911581   
      1240   1.9999657     -4.200472       2.979949      -1.220523       0.24911635   
      1250   1.999969      -4.200472       2.9799538     -1.2205182      0.24911684   
      1260   1.999972      -4.200472       2.9799582     -1.2205137      0.24911728   
      1270   1.9999747     -4.200472       2.9799622     -1.2205098      0.24911768   
      1280   1.9999771     -4.200472       2.9799658     -1.2205061      0.24911804   
      1290   1.9999793     -4.200472       2.9799691     -1.2205029      0.24911837   
      1300   1.9999813     -4.200472       2.9799721     -1.2204999      0.24911866   
      1310   1.999983      -4.200472       2.9799747     -1.2204973      0.24911893   
      1320   1.9999847     -4.200472       2.9799772     -1.2204948      0.24911917   
      1330   1.9999861     -4.200472       2.9799793     -1.2204927      0.24911939   
      1340   1.9999875     -4.200472       2.9799813     -1.2204907      0.24911959   
      1350   1.9999887     -4.200472       2.9799831     -1.2204889      0.24911977   
      1360   1.9999897     -4.200472       2.9799847     -1.2204873      0.24911993   
      1370   1.9999907     -4.200472       2.9799862     -1.2204858      0.24912007   
      1380   1.9999916     -4.200472       2.9799875     -1.2204845      0.24912021   
      1390   1.9999924     -4.200472       2.9799887     -1.2204833      0.24912032   
      1400   1.9999931     -4.200472       2.9799898     -1.2204822      0.24912043   
      1410   1.9999938     -4.200472       2.9799908     -1.2204812      0.24912053   
      1420   1.9999944     -4.200472       2.9799916     -1.2204804      0.24912062   
      1430   1.9999949     -4.200472       2.9799924     -1.2204796      0.2491207    
      1440   1.9999954     -4.200472       2.9799932     -1.2204788      0.24912077   
      1450   1.9999958     -4.200472       2.9799938     -1.2204782      0.24912084   
      1460   1.9999962     -4.200472       2.9799944     -1.2204776      0.2491209    
      1470   1.9999966     -4.200472       2.9799949     -1.2204771      0.24912095   
      1480   1.9999969     -4.200472       2.9799954     -1.2204766      0.249121     
      1490   1.9999972     -4.200472       2.9799959     -1.2204761      0.24912104   
      1500   1.9999975     -4.200472       2.9799963     -1.2204757      0.24912108   
      1510   1.9999977     -4.200472       2.9799966     -1.2204754      0.24912112   
      1520   1.9999979     -4.200472       2.9799969     -1.2204751      0.24912115   
