   Step          Temp          PotEng         KinEng         TotEng         Press     
       337   1             -5.1584292      1.4925        -3.6659292      0.15470981   
       340   1.029701      -5.1584292      1.5368287     -3.6216004      0.16062031   
       350   1.122479      -5.1584292      1.6752999     -3.4831293      0.17908312   
       360   1.2063857     -5.1584292      1.8005307     -3.3578985      0.19578057   
       370   1.2822695     -5.1584292      1.9137872     -3.244642       0.21088143   
       380   1.3508974     -5.1584292      2.0162143     -3.1422148      0.22453838   
       390   1.4129632     -5.1584292      2.1088476     -3.0495816      0.23688949   
       400   1.4690945     -5.1584292      2.1926235     -2.9658057      0.2480596    
       410   1.5198585     -5.1584292      2.2683889     -2.8900403      0.25816166   
       420   1.5657687     -5.1584292      2.3369097     -2.8215194      0.26729777   
       430   1.607289      -5.1584292      2.3988788     -2.7595504      0.27556031   
       440   1.6448392     -5.1584292      2.4549225     -2.7035067      0.28303281   
       450   1.6787989     -5.1584292      2.5056074     -2.6528218      0.28979079   
       460   1.7095115     -5.1584292      2.5514459     -2.6069833      0.2959026    
       470   1.7372874     -5.1584292      2.5929015     -2.5655277      0.30143      
       480   1.7624074     -5.1584292      2.6303931     -2.5280361      0.30642889   
       490   1.7851256     -5.1584292      2.6642999     -2.4941293      0.31094979   
       500   1.8056714     -5.1584292      2.6949646     -2.4634646      0.31503842   
       510   1.8242527     -5.1584292      2.7226972     -2.435732       0.31873609   
       520   1.8410573     -5.1584292      2.747778      -2.4106512      0.32208021   
       530   1.8562551     -5.1584292      2.7704607     -2.3879685      0.32510457   
       540   1.8699997     -5.1584292      2.7909745     -2.3674547      0.32783974   
       550   1.88243       -5.1584292      2.8095268     -2.3489024      0.33031338   
       560   1.8936718     -5.1584292      2.8263052     -2.332124       0.3325505    
       570   1.9038387     -5.1584292      2.8414793     -2.3169499      0.33457371   
       580   1.9130334     -5.1584292      2.8552024     -2.3032268      0.33640346   
       590   1.921349      -5.1584292      2.8676134     -2.2908158      0.33805826   
       600   1.9288694     -5.1584292      2.8788377     -2.2795915      0.33955483   
       610   1.9356708     -5.1584292      2.8889887     -2.2694405      0.3409083    
       620   1.9418218     -5.1584292      2.8981691     -2.2602601      0.34213235   
       630   1.9473847     -5.1584292      2.9064717     -2.2519575      0.34323936   
       640   1.9524157     -5.1584292      2.9139804     -2.2444488      0.34424053   
       650   1.9569656     -5.1584292      2.9207711     -2.237658       0.34514596   
       660   1.9610804     -5.1584292      2.9269126     -2.2315166      0.34596482   
       670   1.9648019     -5.1584292      2.9324668     -2.2259624      0.34670538   
       680   1.9681674     -5.1584292      2.9374899     -2.2209393      0.34737513   
       690   1.9712112     -5.1584292      2.9420327     -2.2163965      0.34798083   
       700   1.9739639     -5.1584292      2.9461411     -2.212288       0.34852863   
       710   1.9764534     -5.1584292      2.9498567     -2.2085724      0.34902404   
       720   1.9787049     -5.1584292      2.9532171     -2.2052121      0.34947208   
       730   1.9807411     -5.1584292      2.9562561     -2.2021731      0.34987729   
       740   1.9825826     -5.1584292      2.9590045     -2.1994247      0.35024374   
       750   1.984248      -5.1584292      2.9614902     -2.196939       0.35057516   
       760   1.9857542     -5.1584292      2.9637381     -2.1946911      0.35087489   
       770   1.9871163     -5.1584292      2.9657711     -2.192658       0.35114596   
       780   1.9883482     -5.1584292      2.9676098     -2.1908194      0.35139111   
       790   1.9894624     -5.1584292      2.9692726     -2.1891566      0.35161282   
       800   1.99047       -5.1584292      2.9707764     -2.1876528      0.35181333   
       810   1.9913812     -5.1584292      2.9721364     -2.1862927      0.35199467   
       820   1.9922053     -5.1584292      2.9733664     -2.1850628      0.35215866   
       830   1.9929506     -5.1584292      2.9744788     -2.1839504      0.35230698   
       840   1.9936247     -5.1584292      2.9754848     -2.1829444      0.35244112   
       850   1.9942343     -5.1584292      2.9763946     -2.1820345      0.35256243   
       860   1.9947856     -5.1584292      2.9772175     -2.1812117      0.35267214   
       870   1.9952842     -5.1584292      2.9779616     -2.1804676      0.35277136   
       880   1.9957351     -5.1584292      2.9786346     -2.1797946      0.35286109   
       890   1.9961429     -5.1584292      2.9792433     -2.1791859      0.35294224   
       900   1.9965117     -5.1584292      2.9797937     -2.1786355      0.35301563   
       910   1.9968452     -5.1584292      2.9802915     -2.1781377      0.35308201   
       920   1.9971469     -5.1584292      2.9807417     -2.1776874      0.35314204   
       930   1.9974197     -5.1584292      2.9811489     -2.1772803      0.35319633   
       940   1.9976664     -5.1584292      2.9815171     -2.176912       0.35324543   
       950   1.9978896     -5.1584292      2.9818502     -2.176579       0.35328983   
       960   1.9980914     -5.1584292      2.9821513     -2.1762778      0.35332999   
       970   1.9982739     -5.1584292      2.9824237     -2.1760055      0.3533663    
       980   1.9984389     -5.1584292      2.9826701     -2.1757591      0.35339915   
       990   1.9985882     -5.1584292      2.9828928     -2.1755363      0.35342885   
      1000   1.9987232     -5.1584292      2.9830943     -2.1753348      0.35345572   
      1010   1.9988453     -5.1584292      2.9832765     -2.1751526      0.35348001   
      1020   1.9989557     -5.1584292      2.9834413     -2.1749878      0.35350199   
      1030   1.9990555     -5.1584292      2.9835904     -2.1748388      0.35352186   
      1040   1.9991458     -5.1584292      2.9837252     -2.174704       0.35353983   
      1050   1.9992275     -5.1584292      2.9838471     -2.1745821      0.35355608   
      1060   1.9993014     -5.1584292      2.9839573     -2.1744719      0.35357078   
      1070   1.9993682     -5.1584292      2.984057      -2.1743722      0.35358407   
      1080   1.9994286     -5.1584292      2.9841472     -2.174282       0.3535961    
      1090   1.9994832     -5.1584292      2.9842287     -2.1742005      0.35360697   
      1100   1.9995326     -5.1584292      2.9843025     -2.1741267      0.3536168    
      1110   1.9995773     -5.1584292      2.9843692     -2.17406        0.3536257    
      1120   1.9996177     -5.1584292      2.9844295     -2.1739997      0.35363374   
      1130   1.9996543     -5.1584292      2.984484      -2.1739451      0.35364101   
      1140   1.9996873     -5.1584292      2.9845334     -2.1738958      0.35364759   
      1150   1.9997172     -5.1584292      2.984578      -2.1738512      0.35365354   
      1160   1.9997443     -5.1584292      2.9846183     -2.1738108      0.35365892   
      1170   1.9997687     -5.1584292      2.9846548     -2.1737743      0.35366379   
      1180   1.9997908     -5.1584292      2.9846878     -2.1737413      0.35366819   
      1190   1.9998108     -5.1584292      2.9847177     -2.1737115      0.35367217   
      1200   1.9998289     -5.1584292      2.9847447     -2.1736845      0.35367576   
      1210   1.9998453     -5.1584292      2.9847691     -2.1736601      0.35367902   
      1220   1.9998601     -5.1584292      2.9847912     -2.173638       0.35368196   
      1230   1.9998735     -5.1584292      2.9848111     -2.173618       0.35368463   
      1240   1.9998856     -5.1584292      2.9848292     -2.1736         0.35368703   
      1250   1.9998965     -5.1584292      2.9848455     -2.1735836      0.35368921   
      1260   1.9999064     -5.1584292      2.9848603     -2.1735689      0.35369118   
      1270   1.9999153     -5.1584292      2.9848737     -2.1735555      0.35369296   
      1280   1.9999234     -5.1584292      2.9848857     -2.1735434      0.35369457   
      1290   1.9999308     -5.1584292      2.9848967     -2.1735325      0.35369603   
      1300   1.9999374     -5.1584292      2.9849065     -2.1735226      0.35369735   
      1310   1.9999434     -5.1584292      2.9849155     -2.1735137      0.35369854   
      1320   1.9999488     -5.1584292      2.9849236     -2.1735056      0.35369962   
      1330   1.9999537     -5.1584292      2.9849309     -2.1734983      0.35370059   
      1340   1.9999581     -5.1584292      2.9849375     -2.1734917      0.35370147   
      1350   1.9999621     -5.1584292      2.9849435     -2.1734857      0.35370227   
      1360   1.9999657     -5.1584292      2.9849489     -2.1734803      0.35370299   
      1370   1.999969      -5.1584292      2.9849538     -2.1734754      0.35370364   
      1380   1.999972      -5.1584292      2.9849582     -2.173471       0.35370423   
      1390   1.9999747     -5.1584292      2.9849622     -2.173467       0.35370476   
      1400   1.9999771     -5.1584292      2.9849658     -2.1734634      0.35370525   
      1410   1.9999793     -5.1584292      2.9849691     -2.1734601      0.35370568   
      1420   1.9999813     -5.1584292      2.984972      -2.1734572      0.35370608   
      1430   1.999983      -5.1584292      2.9849747     -2.1734545      0.35370643   
      1440   1.9999847     -5.1584292      2.9849771     -2.1734521      0.35370676   
      1450   1.9999861     -5.1584292      2.9849793     -2.1734499      0.35370705   
      1460   1.9999875     -5.1584292      2.9849813     -2.1734479      0.35370731   
      1470   1.9999887     -5.1584292      2.9849831     -2.1734461      0.35370755   
      1480   1.9999897     -5.1584292      2.9849847     -2.1734445      0.35370777   
      1490   1.9999907     -5.1584292      2.9849862     -2.173443       0.35370796   
      1500   1.9999916     -5.1584292      2.9849875     -2.1734417      0.35370814   
      1510   1.9999924     -5.1584292      2.9849887     -2.1734405      0.3537083    
      1520   1.9999931     -5.1584292      2.9849898     -2.1734394      0.35370844   
      1530   1.9999938     -5.1584292      2.9849907     -2.1734384      0.35370857   
      1540   1.9999944     -5.1584292      2.9849916     -2.1734376      0.35370869   
      1550   1.9999949     -5.1584292      2.9849924     -2.1734368      0.3537088    
      1560   1.9999954     -5.1584292      2.9849931     -2.173436       0.35370889   
      1570   1.9999958     -5.1584292      2.9849938     -2.1734354      0.35370898   
      1580   1.9999962     -5.1584292      2.9849944     -2.1734348      0.35370906   
      1590   1.9999966     -5.1584292      2.9849949     -2.1734342      0.35370913   
      1600   1.9999969     -5.1584292      2.9849954     -2.1734338      0.3537092    
      1610   1.9999972     -5.1584292      2.9849959     -2.1734333      0.35370925   
      1620   1.9999975     -5.1584292      2.9849963     -2.1734329      0.35370931   
      1630   1.9999977     -5.1584292      2.9849966     -2.1734326      0.35370936   
      1640   1.9999979     -5.1584292      2.9849969     -2.1734322      0.3537094    
      1650   1.9999981     -5.1584292      2.9849972     -2.1734319      0.35370944   
      1660   1.9999983     -5.1584292      2.9849975     -2.1734317      0.35370947   
      1670   1.9999985     -5.1584292      2.9849977     -2.1734314      0.35370951   
      1680   1.9999986     -5.1584292      2.9849979     -2.1734312      0.35370953   
      1690   1.9999988     -5.1584292      2.9849981     -2.173431       0.35370956   
      1700   1.9999989     -5.1584292      2.9849983     -2.1734309      0.35370958   
      1710   1.999999      -5.1584292      2.9849985     -2.1734307      0.35370961   
      1720   1.9999991     -5.1584292      2.9849986     -2.1734305      0.35370962   
      1730   1.9999992     -5.1584292      2.9849988     -2.1734304      0.35370964   
      1740   1.9999992     -5.1584292      2.9849989     -2.1734303      0.35370966   
      1750   1.9999993     -5.1584292      2.984999      -2.1734302      0.35370967   
      1760   1.9999994     -5.1584292      2.9849991     -2.1734301      0.35370969   
      1770   1.9999994     -5.1584292      2.9849992     -2.17343        0.3537097    
      1780   1.9999995     -5.1584292      2.9849992     -2.1734299      0.35370971   
      1790   1.9999995     -5.1584292      2.9849993     -2.1734299      0.35370972   
      1800   1.9999996     -5.1584292      2.9849994     -2.1734298      0.35370973   
      1810   1.9999996     -5.1584292      2.9849994     -2.1734297      0.35370973   
      1820   1.9999997     -5.1584292      2.9849995     -2.1734297      0.35370974   
      1830   1.9999997     -5.1584292      2.9849995     -2.1734296      0.35370975   
      1840   1.9999997     -5.1584292      2.9849996     -2.1734296      0.35370975   
      1850   1.9999998     -5.1584292      2.9849996     -2.1734295      0.35370976   
      1860   1.9999998     -5.1584292      2.9849997     -2.1734295      0.35370976   
      1870   1.9999998     -5.1584292      2.9849997     -2.1734295      0.35370977   
      1880   1.9999998     -5.1584292      2.9849997     -2.1734295      0.35370977   
      1890   1.9999998     -5.1584292      2.9849998     -2.1734294      0.35370977   
      1900   1.9999998     -5.1584292      2.9849998     -2.1734294      0.35370978   
      1910   1.9999999     -5.1584292      2.9849998     -2.1734294      0.35370978   
      1920   1.9999999     -5.1584292      2.9849998     -2.1734294      0.35370978   
      1930   1.9999999     -5.1584292      2.9849998     -2.1734293      0.35370979   
      1940   1.9999999     -5.1584292      2.9849998     -2.1734293      0.35370979   
      1950   1.9999999     -5.1584292      2.9849999     -2.1734293      0.35370979   
      1960   1.9999999     -5.1584292      2.9849999     -2.1734293      0.35370979   
