 Step          Temp          PotEng         KinEng         TotEng         Press     
       217   1             -4.200472       1.49          -2.710472       0.10012146   
       220   0.96218392    -4.1434846      1.433654      -2.7098306      0.13999193   
       230   0.56586423    -3.5420161      0.84313771    -2.6988784      0.52605027   
       240   0.62248064    -3.607676       0.92749616    -2.6801799      0.31652918   
       250   0.58291706    -3.5165201      0.86854641    -2.6479737      0.14112102   
       260   0.58009111    -3.4765067      0.86433575    -2.6121709     -0.042602257  
       270   0.53508929    -3.3743468      0.79728304    -2.5770637     -0.12965103   
       280   0.50957131    -3.3074844      0.75926126    -2.5482231     -0.18855515   
       290   0.47491648    -3.2294229      0.70762556    -2.5217973     -0.20152269   
       300   0.46848962    -3.1937417      0.69804953    -2.4956922     -0.2061485    
       310   0.46503319    -3.1599859      0.69289946    -2.4670865     -0.18352521   
       320   0.47674706    -3.1460405      0.71035312    -2.4356874     -0.15988949   
       330   0.47374349    -3.1075792      0.7058778     -2.4017014     -0.11777561   
       340   0.50327981    -3.1158686      0.74988692    -2.3659817     -0.11223149   
       350   0.55041936    -3.1465089      0.82012485    -2.3263841     -0.12612622   
       360   0.60387381    -3.1822131      0.89977198    -2.2824411     -0.13623876   
       370   0.63998192    -3.1883338      0.95357306    -2.2347607     -0.10727956   
       380   0.65920267    -3.1669681      0.98221197    -2.1847562     -0.045606189  
       390   0.68583998    -3.1542194      1.0219016     -2.1323178      0.0055293245 
       400   0.72290508    -3.1541575      1.0771286     -2.0770289      0.040929659  
       410   0.72363509    -3.0984207      1.0782163     -2.0202044      0.088660067  
       420   0.8017662     -3.1540737      1.1946316     -1.9594421      0.01847622   
       430   0.84111611    -3.1469663      1.253263      -1.8937033     -0.014503158  
       440   0.82948686    -3.0628853      1.2359354     -1.8269498      0.01819545   
       450   0.80645732    -2.9635257      1.2016214     -1.7619043      0.045862711  
       460   0.84607456    -2.9559608      1.2606511     -1.6953097     -0.00072234093
       470   0.87746961    -2.932644       1.3074297     -1.6252143     -0.018977885  
       480   0.88683732    -2.8753675      1.3213876     -1.5539799      0.010249542  
       490   0.92864533    -2.8642439      1.3836815     -1.4805623      0.014696325  
       500   0.98453874    -2.8697349      1.4669627     -1.4027721      0.015941024  
       510   0.97443363    -2.7752311      1.4519061     -1.323325       0.085779065  
       520   1.019668      -2.7631332      1.5193054     -1.2438278      0.085523189  
       530   1.0377797     -2.7077348      1.5462917     -1.161443       0.091691402  
       540   1.0972598     -2.7109378      1.634917      -1.0760207      0.039016065  
       550   1.1257585     -2.6643564      1.6773801     -0.98697628     0.025635467  
       560   1.1485173     -2.6090294      1.7112908     -0.89773861     0.032189244  
       570   1.150459      -2.5223923      1.7141838     -0.80820847     0.046979865  
       580   1.2265406     -2.5432685      1.8275455     -0.715723      -0.010525009  
       590   1.2335688     -2.4583027      1.8380175     -0.62028525     0.027379682  
       600   1.2861578     -2.4411519      1.9163752     -0.5247767      0.031122535  
       610   1.3227783     -2.397035       1.9709397     -0.42609534     0.050262593  
       620   1.3754924     -2.3748045      2.0494837     -0.32532079     0.051774927  
       630   1.4085116     -2.3219633      2.0986823     -0.22328097     0.065424221  
       640   1.4569524     -2.291878       2.1708591     -0.12101892     0.064116883  
       650   1.4456929     -2.1721774      2.1540825     -0.018094976    0.12073861   
       660   1.5742187     -2.2582702      2.3455859      0.087315683    0.039264363  
       670   1.6111812     -2.2042903      2.40066        0.19636961     0.070648948  
       680   1.6100232     -2.0962579      2.3989346      0.30267672     0.15095939   
       690   1.6684549     -2.0779782      2.4859978      0.40801965     0.14823067   
       700   1.7947753     -2.1568741      2.6742152      0.5173411      0.088802476  
       710   1.7646596     -2.004936       2.6293428      0.62440679     0.20906028   
       720   1.8064981     -1.9641314      2.6916822      0.72755085     0.24618881   
       730   1.8770927     -1.9647262      2.7968681      0.8321419      0.23713222   
       740   1.9503882     -1.970198       2.9060784      0.93588044     0.22241218   
       750   1.9267488     -1.835261       2.8708557      1.0355946      0.29149369   
       760   2.0421442     -1.911503       3.0427948      1.1312918      0.19642274   
       770   2.0452443     -1.8227655      3.047414       1.2246486      0.21231004   
       780   2.0829039     -1.7912411      3.1035268      1.3122858      0.20251571   
       790   2.121565      -1.7648575      3.1611319      1.3962744      0.20376966   
       800   2.0462939     -1.5777508      3.048978       1.4712272      0.33070975   
       810   2.1211898     -1.615054       3.1605728      1.5455188      0.28572719   
       820   2.1810541     -1.6353848      3.2497706      1.6143858      0.23037161   
       830   2.1821739     -1.574833       3.2514391      1.6766061      0.2405521    
       840   2.2100466     -1.5612694      3.2929694      1.7317         0.22037989   
       850   2.1755911     -1.4599316      3.2416307      1.7816991      0.26206407   
       860   2.2183811     -1.4809337      3.3053878      1.8244541      0.21739937   
       870   2.1979144     -1.4135873      3.2748924      1.8613051      0.22751798   
       880   2.222212      -1.4206476      3.3110958      1.8904482      0.2084587    
       890   2.2053064     -1.3731491      3.2859065      1.9127575      0.23462842   
       900   2.1990579     -1.3484836      3.2765963      1.9281127      0.2523868    
       910   2.225902      -1.3798093      3.316594       1.9367847      0.23641979   
       920   2.201068      -1.3408256      3.2795914      1.9387657      0.26374346   
       930   2.2062423     -1.3539758      3.2873011      1.9333253      0.25254763   
       940   2.195958      -1.3496105      3.2719774      1.9223669      0.24428425   
       950   2.1815905     -1.3468029      3.2505699      1.9037669      0.24611748   
       960   2.2081781     -1.4116295      3.2901853      1.8785558      0.21448982   
       970   2.1366331     -1.3357462      3.1835834      1.8478372      0.28694132   
       980   2.0900726     -1.3015935      3.1142082      1.8126147      0.3288282    
       990   2.129865      -1.3975196      3.1734989      1.7759793      0.26278223   
      1000   2.1113836     -1.4106927      3.1459616      1.7352689      0.2543106    
      1010   2.060286      -1.3782193      3.0698261      1.6916068      0.28416941   
      1020   1.987733      -1.3135021      2.9617222      1.6482202      0.33044726   
      1030   2.0387624     -1.433261       3.037756       1.604495       0.23435347   
      1040   1.977909      -1.3872452      2.9470844      1.5598392      0.2578908    
      1050   1.869902      -1.2659177      2.786154       1.5202363      0.31690475   
      1060   1.913177      -1.3658606      2.8506338      1.4847732      0.18752112   
      1070   1.870284      -1.3351936      2.7867232      1.4515295      0.15708247   
      1080   1.8223962     -1.2924591      2.7153703      1.4229112      0.16021566   
      1090   1.8091019     -1.2962743      2.6955619      1.3992876      0.16453784   
      1100   1.7633617     -1.2455742      2.6274089      1.3818347      0.21739995   
      1110   1.7509441     -1.2377022      2.6089068      1.3712046      0.22990886   
      1120   1.7255886     -1.2042569      2.571127       1.36687        0.24687837   
      1130   1.7559505     -1.2466388      2.6163663      1.3697275      0.20302243   
      1140   1.7641027     -1.2497114      2.628513       1.3788016      0.19939295   
      1150   1.7541156     -1.2192504      2.6136323      1.3943819      0.21691144   
      1160   1.7734149     -1.2253821      2.6423883      1.4170062      0.19843971   
      1170   1.8146418     -1.2583145      2.7038162      1.4455017      0.16608835   
      1180   1.7867875     -1.1828383      2.6623133      1.479475       0.21706192   
      1190   1.7495359     -1.0889889      2.6068086      1.5178197      0.2653971    
      1200   1.8579979     -1.2043967      2.7684168      1.5640201      0.15499004   
      1210   1.8796918     -1.1861106      2.8007407      1.6146301      0.16342473   
      1220   1.8642669     -1.1104801      2.7777577      1.6672775      0.22679269   
      1230   1.9069994     -1.11692        2.8414291      1.7245091      0.23037143   
      1240   1.941779      -1.1100463      2.8932507      1.7832044      0.24254821   
      1250   1.9793839     -1.1049328      2.949282       1.8443492      0.25880549   
      1260   1.9441756     -0.99238062     2.8968217      1.9044411      0.34277259   
      1270   2.0609048     -1.1062127      3.0707482      1.9645355      0.25880067   
      1280   2.1004676     -1.1056133      3.1296967      2.0240834      0.24779204   
      1290   2.1076005     -1.0605942      3.1403247      2.0797305      0.27754156   
      1300   2.1279898     -1.0393766      3.1707048      2.1313282      0.29136671   
      1310   2.1968587     -1.0941269      3.2733194      2.1791925      0.26076878   
      1320   2.1333505     -0.95801269     3.1786923      2.2206796      0.3632251    
      1330   2.2089492     -1.0346241      3.2913344      2.2567103      0.28815874   
      1340   2.2648389     -1.0878126      3.3746099      2.2867974      0.22527922   
      1350   2.2392269     -1.0274151      3.3364481      2.309033       0.26509018   
      1360   2.2708166     -1.0611881      3.3835167      2.3223286      0.25500283   
      1370   2.2739205     -1.0608166      3.3881415      2.3273249      0.277766     
      1380   2.2984083     -1.1017482      3.4246283      2.3228801      0.28164681   
      1390   2.2713072     -1.0760531      3.3842477      2.3081946      0.32334381   
      1400   2.2476153     -1.0643139      3.3489469      2.284633       0.33054686   
      1410   2.2531081     -1.1047558      3.3571311      2.2523753      0.28116096   
      1420   2.2328024     -1.1146211      3.3268756      2.2122545      0.25098149   
      1430   2.2034319     -1.1181817      3.2831135      2.1649318      0.24063237   
      1440   2.1246642     -1.0539523      3.1657497      2.1117973      0.29857358   
      1450   2.082025      -1.0441796      3.1022173      2.0580377      0.3175275    
      1460   2.0485909     -1.0473622      3.0524004      2.0050382      0.30840007   
      1470   2.0238377     -1.0644896      3.0155182      1.9510287      0.2814486    
      1480   2.0133586     -1.1028537      2.9999044      1.8970506      0.23720479   
      1490   1.9939521     -1.1254151      2.9709886      1.8455735      0.21619187   
      1500   1.9239937     -1.0707378      2.8667506      1.7960129      0.25884542   
      1510   1.8909189     -1.0659164      2.8174691      1.7515528      0.25847384   
      1520   1.927453      -1.1619536      2.871905       1.7099514      0.18616859   
      1530   1.8817946     -1.1323828      2.803874       1.6714912      0.21459346   
      1540   1.8269556     -1.0844458      2.7221638      1.637718       0.25027519   
      1550   1.8308408     -1.1188199      2.7279528      1.6091329      0.21369414   
      1560   1.8236232     -1.1316082      2.7171986      1.5855904      0.19352901   
      1570   1.7813622     -1.0874453      2.6542297      1.5667844      0.22179976   
      1580   1.7663275     -1.0778781      2.631828       1.5539499      0.22031301   
      1590   1.7587303     -1.0726597      2.6205082      1.5478484      0.19654887   
      1600   1.8038053     -1.1405255      2.68767        1.5471445      0.12948993   
      1610   1.8016215     -1.132131       2.684416       1.552285       0.13440323   
      1620   1.776378      -1.0837549      2.6468033      1.5630483      0.18836315   
      1630   1.7719392     -1.0616071      2.6401894      1.5785823      0.2441055    
      1640   1.7290856     -0.97579572     2.5763375      1.6005418      0.31799438   
      1650   1.7892087     -1.0362015      2.665921       1.6297195      0.25383618   
      1660   1.8596508     -1.1053804      2.7708796      1.6654992      0.16185598   
      1670   1.882345      -1.0980556      2.8046941      1.7066385      0.13662554   
      1680   1.8777012     -1.047238       2.7977747      1.7505367      0.18166839   
      1690   1.8647657     -0.98146974     2.7785009      1.7970312      0.25264165   
      1700   1.9400741     -1.0443781      2.8907105      1.8463324      0.2246014    
      1710   1.9302016     -0.9782893      2.8760004      1.8977111      0.28221189   
      1720   1.9144671     -0.90245026     2.852556       1.9501057      0.33813655   
      1730   2.014773      -0.99932485     3.0020117      2.0026869      0.27202736   
      1740   2.0622049     -1.0165862      3.0726853      2.0560991      0.25565528   
