Step          Temp          PotEng         KinEng         TotEng         Press     
       337   1             -5.1584292      1.4925        -3.6659292      0.15470981   
       340   0.95426667    -5.0894865      1.424243      -3.6652434      0.21560226   
       350   0.4778809     -4.3676211      0.71323724    -3.6543839      0.82517271   
       360   0.54542319    -4.4518988      0.81404411    -3.6378547      0.54369409   
       370   0.57183877    -4.4612334      0.85346937    -3.6077641      0.25014861   
       380   0.56963377    -4.4236548      0.85017841    -3.5734764      0.01425672   
       390   0.51147642    -4.3065476      0.76337855    -3.5431691     -0.10835042   
       400   0.48734398    -4.2451871      0.7273609     -3.5178262     -0.22897519   
       410   0.45698566    -4.1752036      0.6820511     -3.4931525     -0.28180027   
       420   0.40217145    -4.0691081      0.60024088    -3.4688672     -0.24950489   
       430   0.39663603    -4.0359699      0.59197927    -3.4439906     -0.26439427   
       440   0.41175904    -4.0312738      0.61455037    -3.4167234     -0.29642869   
       450   0.40981434    -3.9990758      0.61164791    -3.3874279     -0.27688087   
       460   0.39188347    -3.94347        0.58488607    -3.3585839     -0.21976452   
       470   0.4489902     -3.9980542      0.67011787    -3.3279363     -0.25853041   
       480   0.45661461    -3.9749038      0.6814973     -3.2934065     -0.20685004   
       490   0.45768161    -3.9422529      0.6830898     -3.2591631     -0.14151808   
       500   0.50225376    -3.9717942      0.74961373    -3.2221805     -0.15483514   
       510   0.53198802    -3.9758329      0.79399211    -3.1818408     -0.14185752   
       520   0.52788833    -3.928188       0.78787333    -3.1403146     -0.057505087  
       530   0.5509456     -3.9196875      0.82228631    -3.0974012      0.0083719389 
       540   0.5682604     -3.901214       0.84812865    -3.0530853      0.067960746  
       550   0.60261471    -3.9046163      0.89940245    -3.0052139      0.092375765  
       560   0.63540183    -3.903419       0.94833723    -2.9550817      0.11934744   
       570   0.69592994    -3.9397872      1.0386754     -2.9011118      0.099099658  
       580   0.73084408    -3.933304       1.0907848     -2.8425192      0.099698884  
       590   0.7319007     -3.8747387      1.0923618     -2.7823769      0.12017649   
