
   Step          Temp          PotEng         KinEng         TotEng         Press     
       302   1             -2.4723368      1.47          -1.0023368      0.047964199  
       310   0.86989361    -2.2764928      1.2787436     -0.99774916     0.098285547  
       320   0.71794627    -2.0369073      1.055381      -0.98152631     0.12959869   
       330   0.77498846    -2.0905674      1.139233      -0.95133433     0.052084421  
       340   0.75529774    -2.0172623      1.1102877     -0.90697467     0.0023814344 
       350   0.71840685    -1.9100455      1.0560581     -0.8539874     -0.021214934  
       360   0.6966453     -1.8216125      1.0240686     -0.79754387    -0.030015149  
       370   0.69333007    -1.7615009      1.0191952     -0.74230572    -0.029233473  
       380   0.68825671    -1.703133       1.0117374     -0.69139564    -0.017334262  
       390   0.70452       -1.6803352      1.0356444     -0.64469085    -0.0076321103 
       400   0.73574767    -1.6806561      1.0815491     -0.59910706    -0.003924795  
       410   0.7610723     -1.6699582      1.1187763     -0.5511819      0.0019817223 
       420   0.7686573     -1.6303642      1.1299262     -0.50043794     0.014859142  
       430   0.80728992    -1.6318389      1.1867162     -0.44512271     0.013714691  
       440   0.86034774    -1.6472565      1.2647112     -0.38254533     0.0062213686 
       450   0.88019746    -1.6077042      1.2938903     -0.3138139      0.015416376  
       460   0.89085334    -1.5515253      1.3095544     -0.24197085     0.031088067  
       470   0.94514199    -1.5555048      1.3893587     -0.16614605     0.030278442  
       480   1.0074151     -1.565194       1.4809001     -0.084293838    0.024960092  
       490   1.0914349     -1.6014173      1.6044094      0.0029920772   0.014319349  
       500   1.1410292     -1.5823427      1.6773129      0.094970188    0.022669071  
       510   1.2210372     -1.6042461      1.7949247      0.19067863     0.031068656  
       520   1.204185      -1.4817977      1.770152       0.28835427     0.073591064  
       530   1.322864      -1.5565748      1.94461        0.3880352      0.054899081  
       540   1.3806249     -1.5354672      2.0295186      0.4940514      0.049147382  
       550   1.3943812     -1.449464       2.0497403      0.60027631     0.05951102   
       560   1.4791443     -1.4661876      2.1743421      0.70815442     0.043618763  
       570   1.5351917     -1.4370814      2.2567318      0.81965042     0.041317266  
       580   1.5854424     -1.3988135      2.3306004      0.93178689     0.048661123  
       590   1.6344981     -1.3574163      2.4027122      1.0452959      0.060352126  
       600   1.7360624     -1.3921548      2.5520117      1.1598569      0.054597153  
       610   1.8210699     -1.4006061      2.6769728      1.2763666      0.057158778  
       620   1.8848537     -1.3790296      2.7707349      1.3917053      0.069536385  
       630   1.9796595     -1.4037446      2.9100994      1.5063548      0.075373693  
       640   2.0339938     -1.3736061      2.9899709      1.6163648      0.098644436  
       650   2.1171727     -1.3900073      3.1122439      1.7222366      0.10966595   
       660   2.0412326     -1.1804859      3.000612       1.820126       0.15188481   
       670   2.1991849     -1.3196901      3.2328018      1.9131117      0.1040168    
       680   2.2194954     -1.2631117      3.2626583      1.9995465      0.095722048  
       690   2.2578472     -1.2397321      3.3190354      2.0793033      0.093644973  
       700   2.1675999     -1.0389129      3.1863719      2.147459       0.13246115   
       710   2.308096      -1.1849045      3.3929012      2.2079967      0.083746488  
       720   2.2269928     -1.0126903      3.2736794      2.260989       0.10744733   
       730   2.2598889     -1.0187571      3.3220367      2.3032797      0.092019378  
       740   2.260079      -0.98418985     3.3223162      2.3381263      0.082508736  
       750   2.2636497     -0.96322544     3.3275651      2.3643397      0.074465231  
       760   2.2595173     -0.93950922     3.3214905      2.3819812      0.074349721  
       770   2.2443904     -0.90799469     3.2992539      2.3912592      0.082297037  
       780   2.2447007     -0.90737657     3.29971        2.3923335      0.087481262  
       790   2.204633      -0.85545404     3.2408105      2.3853564      0.10683993   
       800   2.189198      -0.84655641     3.218121       2.3715646      0.11022294   
       810   2.1926096     -0.87103177     3.2231361      2.3521043      0.099716781  
       820   2.1930935     -0.8982983      3.2238474      2.3255491      0.091432062  
       830   2.138004      -0.8500823      3.1428659      2.2927836      0.1007217    
       840   2.1291053     -0.87378677     3.1297848      2.2559981      0.091495192  
       850   2.0204507     -0.75373777     2.9700625      2.2163248      0.11137702   
       860   2.0721745     -0.87250959     3.0460965      2.173587       0.077817495  
       870   2.0062925     -0.81898018     2.94925        2.1302698      0.080880924  
       880   1.9667662     -0.80410047     2.8911463      2.0870458      0.076861745  
       890   1.9299052     -0.79116847     2.8369607      2.0457922      0.071576501  
