# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
11000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 4.52919e-05 1e-05
38 0.9375 0.00388323 0.000915
39 0.9625 0.0550178 0.01443
40 0.9875 0.297072 0.091245
41 1.0125 0.906115 0.337555
42 1.0375 1.78192 0.84615
43 1.0625 2.61487 1.62889
44 1.0875 3.17638 2.62497
45 1.1125 3.35297 3.72533
46 1.1375 3.23909 4.83663
47 1.1625 2.93937 5.8899
48 1.1875 2.54933 6.84313
49 1.2125 2.16394 7.68668
50 1.2375 1.78684 8.41225
51 1.2625 1.48366 9.03929
52 1.2875 1.2073 9.56994
53 1.3125 0.994262 10.0241
54 1.3375 0.824498 10.4152
55 1.3625 0.696955 10.7582
56 1.3875 0.599828 11.0644
57 1.4125 0.53371 11.3468
58 1.4375 0.490833 11.6157
59 1.4625 0.467717 11.881
60 1.4875 0.469053 12.1562
61 1.5125 0.477869 12.446
62 1.5375 0.49946 12.7591
63 1.5625 0.521113 13.0964
64 1.5875 0.553181 13.4661
65 1.6125 0.574817 13.8624
66 1.6375 0.590143 14.282
67 1.6625 0.602677 14.7236
68 1.6875 0.61007 15.1843
69 1.7125 0.615028 15.6625
70 1.7375 0.630744 16.1674
71 1.7625 0.651743 16.7042
72 1.7875 0.69247 17.2909
73 1.8125 0.758166 17.9513
74 1.8375 0.851113 18.7133
75 1.8625 0.9652 19.601
76 1.8875 1.09385 20.6343
77 1.9125 1.23452 21.8316
78 1.9375 1.35455 23.1799
79 1.9625 1.44664 24.6572
80 1.9875 1.51276 26.2416
81 2.0125 1.52783 27.8824
82 2.0375 1.50855 29.5429
83 2.0625 1.45614 31.1853
84 2.0875 1.39021 32.7916
85 2.1125 1.31897 34.3523
86 2.1375 1.23994 35.8544
87 2.1625 1.17878 37.3161
88 2.1875 1.13108 38.7511
89 2.2125 1.0857 40.1603
90 2.2375 1.04557 41.5483
91 2.2625 1.01066 42.92
92 2.2875 0.97745 44.2762
93 2.3125 0.950129 45.6234
94 2.3375 0.922101 46.9593
95 2.3625 0.891225 48.2782
96 2.3875 0.869589 49.5925
97 2.4125 0.858289 50.917
98 2.4375 0.855363 52.2645
99 2.4625 0.85395 53.6375
100 2.4875 0.864991 55.0567
12000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00011323 2.5e-05
38 0.9375 0.00401196 0.00096
39 0.9625 0.0559948 0.014715
40 0.9875 0.301887 0.092775
41 1.0125 0.919506 0.342725
42 1.0375 1.80026 0.856555
43 1.0625 2.65807 1.65222
44 1.0875 3.2065 2.65775
45 1.1125 3.38117 3.76737
46 1.1375 3.22486 4.87378
47 1.1625 2.92496 5.9219
48 1.1875 2.53844 6.87105
49 1.2125 2.14071 7.70554
50 1.2375 1.77428 8.42601
51 1.2625 1.45745 9.04198
52 1.2875 1.19667 9.56795
53 1.3125 0.983524 10.0172
54 1.3375 0.816487 10.4045
55 1.3625 0.685537 10.7419
56 1.3875 0.587731 11.0419
57 1.4125 0.527056 11.3208
58 1.4375 0.490751 11.5897
59 1.4625 0.469559 11.856
60 1.4875 0.467621 12.1303
61 1.5125 0.482633 12.4231
62 1.5375 0.50305 12.7384
63 1.5625 0.527848 13.0801
64 1.5875 0.553915 13.4502
65 1.6125 0.576245 13.8475
66 1.6375 0.595874 14.2712
67 1.6625 0.605577 14.715
68 1.6875 0.610818 15.1762
69 1.7125 0.615414 15.6547
70 1.7375 0.63175 16.1604
71 1.7625 0.653722 16.6989
72 1.7875 0.696648 17.2891
73 1.8125 0.767958 17.958
74 1.8375 0.860992 18.7288
75 1.8625 0.977083 19.6275
76 1.8875 1.11387 20.6797
77 1.9125 1.25114 21.8931
78 1.9375 1.37209 23.2588
79 1.9625 1.45838 24.7481
80 1.9875 1.51387 26.3337
81 2.0125 1.52949 27.9763
82 2.0375 1.49729 29.6244
83 2.0625 1.44486 31.2541
84 2.0875 1.37758 32.8458
85 2.1125 1.29814 34.3819
86 2.1375 1.2329 35.8754
87 2.1625 1.17147 37.328
88 2.1875 1.1207 38.7499
89 2.2125 1.08007 40.1518
90 2.2375 1.04556 41.5397
91 2.2625 1.01167 42.9128
92 2.2875 0.978809 44.2709
93 2.3125 0.949427 45.6171
94 2.3375 0.921683 46.9524
95 2.3625 0.889982 48.2695
96 2.3875 0.872166 49.5877
97 2.4125 0.860495 50.9156
98 2.4375 0.854113 52.2611
99 2.4625 0.853642 53.6336
100 2.4875 0.863468 55.0503
13000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 6.79378e-05 1.5e-05
38 0.9375 0.00452686 0.00107
39 0.9625 0.0579082 0.015295
40 0.9875 0.318323 0.097605
41 1.0125 0.933117 0.351255
