# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0577922 0.004
29 0.9462 0.336301 0.029
30 0.9794 1.43134 0.143
31 1.0126 3.52375 0.443
32 1.0458 5.39587 0.933
33 1.079 6.07239 1.52
34 1.1122 6.04634 2.141
35 1.1454 5.80191 2.773
36 1.1786 4.92477 3.341
37 1.2118 4.9703 3.947
38 1.245 3.90843 4.45
39 1.2782 3.11092 4.872
40 1.3114 3.22154 5.332
41 1.3446 2.60476 5.723
42 1.3778 2.11276 6.056
43 1.411 2.196 6.419
44 1.4442 1.89408 6.747
45 1.4774 2.03616 7.116
46 1.5106 1.76291 7.45
47 1.5438 1.76876 7.8
48 1.577 1.66117 8.143
49 1.6102 1.53298 8.473
50 1.6434 1.73479 8.862
51 1.6766 1.66248 9.25
52 1.7098 1.56147 9.629
53 1.743 1.76421 10.074
54 1.7762 1.64925 10.506
55 1.8094 1.78794 10.992
56 1.8426 1.86245 11.517
57 1.8758 2.08807 12.127
58 1.909 2.07556 12.755
59 1.9422 2.21276 13.448
60 1.9754 2.32729 14.202
61 2.0086 2.19128 14.936
62 2.0418 2.41529 15.772
63 2.075 2.4673 16.654
64 2.1082 2.42814 17.55
65 2.1414 2.18271 18.381
66 2.1746 2.23373 19.258
67 2.2078 2.11764 20.115
68 2.241 2.04577 20.968
69 2.2742 2.01908 21.835
70 2.3074 2.01795 22.727
71 2.3406 1.94792 23.613
72 2.3738 1.80618 24.458
73 2.407 1.85233 25.349
74 2.4402 1.74765 26.213
75 2.4734 1.57505 27.013
76 2.5066 1.57386 27.834
77 2.5398 1.54605 28.662
78 2.573 1.43364 29.45
79 2.6062 1.57113 30.336
80 2.6394 1.53358 31.223
81 2.6726 1.48054 32.101
82 2.7058 1.47075 32.995
83 2.739 1.54609 33.958
84 2.7722 1.44659 34.881
85 2.8054 1.53499 35.884
86 2.8386 1.59945 36.954
87 2.8718 1.54515 38.012
88 2.905 1.53145 39.085
89 2.9382 1.52494 40.178
90 2.9714 1.4815 41.264
91 3.0046 1.57703 42.446
92 3.0378 1.52056 43.611
93 3.071 1.4853 44.774
94 3.1042 1.5862 46.043
95 3.1374 1.47939 47.252
96 3.1706 1.57677 48.568
97 3.2038 1.39054 49.753
98 3.237 1.36101 50.937
99 3.2702 1.43826 52.214
100 3.3034 1.38411 53.468
1500 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0144481 0.001
29 0.9462 0.322849 0.025
30 0.9794 1.48156 0.143
31 1.0126 2.80726 0.382
32 1.0458 4.76819 0.815
33 1.079 4.92412 1.291
34 1.1122 5.32584 1.838
35 1.1454 4.96651 2.379
36 1.1786 4.23114 2.867
37 1.2118 3.68261 3.316
38 1.245 3.53546 3.771
39 1.2782 3.11092 4.193
40 1.3114 2.90639 4.608
41 1.3446 2.73799 5.019
42 1.3778 2.14448 5.357
43 1.411 2.32909 5.742
44 1.4442 2.0038 6.089
45 1.4774 1.87613 6.429
46 1.5106 1.83152 6.776
47 1.5438 1.55651 7.084
48 1.577 1.72413 7.44
49 1.6102 1.61196 7.787
50 1.6434 1.61884 8.15
51 1.6766 1.60678 8.525
52 1.7098 1.63151 8.921
53 1.743 1.5977 9.324
54 1.7762 1.68743 9.766
55 1.8094 1.63343 10.21
56 1.8426 1.72055 10.695
57 1.8758 1.75945 11.209
58 1.909 1.88387 11.779
59 1.9422 2.00521 12.407
60 1.9754 1.84578 13.005
61 2.0086 1.94648 13.657
62 2.0418 1.98192 14.343
63 2.075 2.11763 15.1
