# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
500 100
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0 0
72 0.89375 0 0
73 0.90625 0 0
74 0.91875 0 0
75 0.93125 0.0367268 0.000125
76 0.94375 0.0715206 0.000375
77 0.95625 0.0696631 0.000625
78 0.96875 0.135754 0.001125
79 0.98125 0.363872 0.0025
80 0.99375 0.580543 0.00475
81 1.00625 0.660577 0.007375
82 1.01875 0.797911 0.010625
83 1.03125 1.19798 0.015625
84 1.04375 0.877091 0.019375
85 1.05625 1.19904 0.024625
86 1.06875 0.975961 0.029
87 1.08125 1.36218 0.03525
88 1.09375 1.35785 0.041625
89 1.10625 1.30131 0.047875
90 1.11875 1.55232 0.0555
91 1.13125 1.54309 0.06325
92 1.14375 1.29042 0.069875
93 1.15625 1.40561 0.07725
94 1.16875 1.44566 0.085
95 1.18125 1.25544 0.091875
96 1.19375 0.96108 0.09725
97 1.20625 1.00693 0.103
98 1.21875 0.964942 0.108625
99 1.23125 1.0505 0.114875
100 1.24375 0.803002 0.11975
