TimeStep	Mean Squared Displacement
0.000000	0.000000
0.010000	0.000045
0.020000	0.000595
0.030000	0.003314
0.040000	0.012266
0.050000	0.035451
0.060000	0.086627
0.070000	0.187284
0.080000	0.368671
0.090000	0.673739
0.100000	1.158875
0.110000	1.895298
0.120000	2.970007
0.130000	4.486166
0.140000	6.562866
0.150000	9.334182
0.160000	12.947519
0.170000	17.561228
0.180000	23.341537
0.190000	30.458843
0.200000	39.083477
0.210000	49.381027
0.220000	61.507399
0.230000	75.603730
0.240000	91.791364
0.250000	110.167059
0.260000	130.798628
0.270000	153.721264
0.280000	178.934915
0.290000	206.403623
0.300000	236.060197
0.310000	267.832827
0.320000	301.646585
0.330000	337.401468
0.340000	374.968746
0.350000	414.155031
0.360000	454.711289
0.370000	496.352646
0.380000	538.766558
0.390000	581.619518
0.400000	624.563785
0.410000	667.244384
0.420000	709.306305
0.430000	750.401752
0.440000	790.197266
0.450000	828.380543
0.460000	864.666757
0.470000	898.804241
0.480000	930.579369
0.490000	959.820544
0.500000	986.401193
0.510000	1010.241720
0.520000	1031.310410
0.530000	1049.623286
0.540000	1065.242972
0.550000	1078.276641
0.560000	1088.873138
0.570000	1097.219413
0.580000	1103.536362
0.590000	1108.074222
0.600000	1111.107563
0.610000	1112.929788
0.620000	1113.846412
0.630000	1114.163680
0.640000	1114.150124
0.650000	1114.002446
0.660000	1113.910354
0.670000	1114.067833
0.680000	1114.714196
0.690000	1116.145589
0.700000	1118.670990
0.710000	1122.597339
0.720000	1128.224631
0.730000	1135.843619
0.740000	1145.734536
0.750000	1158.166283
0.760000	1173.395843
0.770000	1191.667744
0.780000	1213.213442
0.790000	1238.250519
0.800000	1266.981608
0.810000	1299.592978
0.820000	1336.252737
0.830000	1377.108644
0.840000	1422.285534
0.850000	1471.882397
0.860000	1525.969184
0.870000	1584.583426
0.880000	1647.726787
0.890000	1715.361673
0.900000	1787.408072
0.910000	1863.740775
0.920000	1944.187178
0.930000	2028.525904
0.940000	2116.486663
0.950000	2207.752314
0.960000	2301.966758
0.970000	2398.767602
0.980000	2497.863633
0.990000	2598.992552
1.000000	2701.849434
1.010000	2806.073327
1.020000	2911.172683
1.030000	3016.583578
1.040000	3121.709514
1.050000	3225.937503
1.060000	3328.649613
1.070000	3429.233386
1.080000	3527.091920
1.090000	3621.653717
1.100000	3712.382206
1.110000	3798.784784
1.120000	3880.421180
1.130000	3956.910983
1.140000	4027.940147
1.150000	4093.266350
1.160000	4152.723095
1.170000	4206.222469
1.180000	4253.756524
1.190000	4295.397276
1.200000	4331.295354
1.210000	4361.677362
1.220000	4386.842048
1.230000	4407.155398
1.240000	4423.044797
1.250000	4434.992364
1.260000	4443.527580
1.270000	4449.219131
1.280000	4452.665467
1.290000	4454.481537
1.300000	4455.268328
1.310000	4455.505976
1.320000	4455.576980
1.330000	4455.861343
1.340000	4456.767192
1.350000	4458.814844
1.360000	4462.598857
1.370000	4468.727670
1.380000	4477.800068
1.390000	4490.395224
1.400000	4507.066707
1.410000	4528.338137
1.420000	4554.699697
1.430000	4586.605163
1.440000	4624.469248
1.450000	4668.665133
1.460000	4719.522093
1.470000	4777.323127
1.480000	4842.302555
1.490000	4914.643555
1.500000	4994.475617
1.510000	5081.871969
1.520000	5176.846989
1.530000	5279.353697
1.540000	5389.281404
1.550000	5506.453644
1.560000	5630.626504
1.570000	5761.487515
1.580000	5898.655254
1.590000	6041.679877
1.600000	6190.044905
1.610000	6343.170994
1.620000	6500.424069
1.630000	6661.140144
1.640000	6824.713159
1.650000	6990.656306
1.660000	7158.517499
1.670000	7327.772116
